Summary Level	Geographic Component	State FIPS	Place FIPS	County FIPS	Tract	Zip	Block	Name	Latitude	Longitude
160	00	01	00124					Abbeville city	31.566367	-85.251300
160	00	01	00460					Adamsville city	33.590411	-86.949166
160	00	01	00484					Addison town	34.200042	-87.177851
160	00	01	00676					Akron town	32.876425	-87.740978
160	00	01	00820					Alabaster city	33.231162	-86.823829
160	00	01	00988					Albertville city	34.265362	-86.211261
160	00	01	01132					Alexander City city	32.933157	-85.936008
160	00	01	01180					Alexandria CDP	33.766072	-85.884389
160	00	01	01228					Aliceville city	33.126276	-88.154427
160	00	01	01396					Allgood town	33.904216	-86.516428
160	00	01	01660					Altoona town	34.029259	-86.320687
160	00	01	01708					Andalusia city	31.309321	-86.479468
160	00	01	01756					Anderson town	34.920029	-87.270358
160	00	01	01852					Anniston city	33.663003	-85.826664
160	00	01	02116					Arab city	34.327863	-86.498613
160	00	01	02260					Ardmore town	34.987052	-86.843228
160	00	01	02320					Argo town	33.700210	-86.512357
160	00	01	02428					Ariton town	31.598204	-85.718761
160	00	01	02500					Arley town	34.081499	-87.210768
160	00	01	02836					Ashford city	31.184032	-85.235286
160	00	01	02860					Ashland city	33.272206	-85.836925
160	00	01	02908					Ashville town	33.843737	-86.266274
160	00	01	02956					Athens city	34.789602	-86.969424
160	00	01	03004					Atmore city	31.023183	-87.492067
160	00	01	03028					Attalla city	34.009818	-86.098413
160	00	01	03076					Auburn city	32.597684	-85.480823
160	00	01	03220					Autaugaville town	32.432410	-86.653370
160	00	01	03364					Avon town	31.189409	-85.279156
160	00	01	03556					Babbie town	31.300460	-86.319293
160	00	01	03676					Baileyton town	34.267139	-86.603018
160	00	01	03940					Banks town	31.813464	-85.840281
160	00	01	04660					Bay Minette city	30.883446	-87.777183
160	00	01	04684					Bayou La Batre city	30.403253	-88.248117
160	00	01	04852					Bear Creek town	34.272400	-87.703374
160	00	01	04900					Beatrice town	31.733178	-87.206773
160	00	01	04948					Beaverton town	33.932813	-88.020374
160	00	01	05164					Belk town	33.645856	-87.930934
160	00	01	05692					Benton town	32.306248	-86.817551
160	00	01	05932					Berry town	33.657836	-87.606084
160	00	01	05980					Bessemer city	33.391343	-86.956569
160	00	01	06460					Billingsley town	32.660416	-86.711247
160	00	01	07000					Birmingham city	33.524755	-86.812740
160	00	01	07120					Black town	31.011112	-85.744365
160	00	01	07456					Blountsville town	34.081911	-86.588778
160	00	01	07552					Blue Mountain town	33.688619	-85.837577
160	00	01	07588					Blue Ridge CDP	32.486744	-86.190823
160	00	01	07672					Blue Springs town	31.664330	-85.495919
160	00	01	07912					Boaz city	34.202793	-86.160457
160	00	01	08104					Boligee town	32.763768	-88.025968
160	00	01	08248					Bon Air town	33.263798	-86.333650
160	00	01	08920					Branchville town	33.648029	-86.436895
160	00	01	09016					Brantley town	31.584365	-86.256651
160	00	01	09136					Brent city	32.940240	-87.174982
160	00	01	09208					Brewton city	31.117706	-87.071164
160	00	01	09328					Bridgeport city	34.947303	-85.718966
160	00	01	09400					Brighton city	33.438958	-86.945442
160	00	01	09424					Brilliant town	34.022764	-87.767372
160	00	01	09736					Brookside town	33.631867	-86.913068
160	00	01	09808					Brookwood town	33.239110	-87.319746
160	00	01	10240					Brundidge city	31.719218	-85.818119
160	00	01	11032					Butler city	32.091526	-88.220684
160	00	01	11128					Bynum CDP	33.605985	-85.963308
160	00	01	11248					Cahaba Heights CDP	33.459256	-86.732086
160	00	01	11416					Calera city	33.107572	-86.749964
160	00	01	11512					Camden town	31.998851	-87.295743
